Channel1_Signal,Channel1_Noise,Channel2_Signal,Channel2_Noise,Notes
" Point 2 Time: 4.221106 Frequency:  41.59 Hz, Directions: 178.96 degrees "," Point 3 Time: 13.270475 Frequency:  42.47 Hz, Directions:  92.59 degrees "," Point 2 Time: 3.805324 Frequency:  42.90 Hz, Directions: 116.71 degrees "," Point 3 Time: 18.675639 Frequency:  41.38 Hz, Directions:  86.40 degrees ",
" Point 3 Time: 6.838085 Frequency:  42.03 Hz, Directions:  51.81 degrees "," Point 4 Time: 13.906376 Frequency:  42.47 Hz, Directions:  74.74 degrees "," Point 3 Time: 6.348930 Frequency:  42.03 Hz, Directions: 100.34 degrees "," Point 4 Time: 19.458287 Frequency:  40.94 Hz, Directions: 114.88 degrees ",
," Point 5 Time: 13.294933 Frequency:  36.79 Hz, Directions: 107.75 degrees ",," Point 5 Time: 18.602265 Frequency:  35.92 Hz, Directions:  42.11 degrees ",
 Absolute time at min time: 08-Aug-2014 04:57:42," Point 6 Time: 14.004207 Frequency:  36.35 Hz, Directions:  44.20 degrees ", Absolute time at min time: 08-Aug-2014 05:01:48," Point 6 Time: 19.287082 Frequency:  35.92 Hz, Directions: 343.20 degrees ",
" Point 1 Time: 1.775330 Frequency:  41.38 Hz, Directions: 147.16 degrees ",," Point 1 Time: 2.484605 Frequency:  41.81 Hz, Directions:  45.73 degrees ",,"weaker call, not seen well on azi"
" Point 2 Time: 3.731950 Frequency:  40.94 Hz, Directions: 177.92 degrees ", Absolute time at min time: 08-Aug-2014 04:12:35," Point 2 Time: 5.052669 Frequency:  41.16 Hz, Directions:  71.62 degrees ", Absolute time at min time: 08-Aug-2014 04:14:51 ,
" Point 3 Time: 6.202184 Frequency:  41.16 Hz, Directions: 115.96 degrees "," Point 1 Time: 0.479069 Frequency:  48.58 Hz, Directions:  56.52 degrees "," Point 3 Time: 7.547360 Frequency:  40.72 Hz, Directions: 110.57 degrees "," Point 1 Time: 0.650273 Frequency:  48.14 Hz, Directions:  74.02 degrees ",
," Point 2 Time: 1.212802 Frequency:  48.58 Hz, Directions:  38.88 degrees ",," Point 2 Time: 1.481837 Frequency:  48.14 Hz, Directions:  58.05 degrees ",
 Absolute time at min time: 08-Aug-2014 04:58:32," Point 3 Time: 0.527985 Frequency:  43.12 Hz, Directions:   6.91 degrees ", Absolute time at min time: 08-Aug-2014 05:02:41," Point 3 Time: 0.845935 Frequency:  43.78 Hz, Directions: 107.99 degrees ",
" Point 1 Time: 5.664113 Frequency:  42.69 Hz, Directions: 111.92 degrees "," Point 4 Time: 1.310633 Frequency:  43.34 Hz, Directions: 105.62 degrees "," Point 1 Time: 2.973760 Frequency:  42.69 Hz, Directions: 128.65 degrees "," Point 4 Time: 1.481837 Frequency:  43.34 Hz, Directions: 349.66 degrees ",
" Point 2 Time: 8.427839 Frequency:  42.47 Hz, Directions: 114.12 degrees "," Point 5 Time: 0.699189 Frequency:  38.10 Hz, Directions: 197.40 degrees "," Point 2 Time: 4.979296 Frequency:  42.25 Hz, Directions:  78.35 degrees "," Point 5 Time: 0.748104 Frequency:  37.45 Hz, Directions:  39.27 degrees ",
" Point 3 Time: 10.849157 Frequency:  43.12 Hz, Directions: 150.25 degrees "," Point 6 Time: 1.261717 Frequency:  38.10 Hz, Directions:  43.30 degrees "," Point 3 Time: 6.960374 Frequency:  41.81 Hz, Directions: 149.85 degrees "," Point 6 Time: 1.457379 Frequency:  37.45 Hz, Directions: 349.38 degrees ",
" Point 4 Time: 13.197102 Frequency:  42.03 Hz, Directions: 123.60 degrees ",," Point 4 Time: 8.647959 Frequency:  42.47 Hz, Directions:  57.79 degrees ",,
" Point 5 Time: 14.542278 Frequency:  41.81 Hz, Directions: 111.11 degrees ", Absolute time at min time: 08-Aug-2014 04:14:33,, Absolute time at min time: 08-Aug-2014 04:13:58,
," Point 1 Time: 19.213709 Frequency:  48.14 Hz, Directions: 198.15 degrees ", Absolute time at min time: 08-Aug-2014 05:03:37," Point 1 Time: 13.050355 Frequency:  48.80 Hz, Directions:  36.51 degrees ",
 Absolute time at min time: 08-Aug-2014 04:59:16," Point 2 Time: 19.947442 Frequency:  48.14 Hz, Directions:  60.89 degrees ",," Point 2 Time: 13.735172 Frequency:  49.45 Hz, Directions:  32.41 degrees ",
" Point 1 Time: 3.511831 Frequency:  42.03 Hz, Directions:  46.63 degrees "," Point 3 Time: 19.238167 Frequency:  42.03 Hz, Directions:  33.58 degrees ",," Point 3 Time: 13.050355 Frequency:  44.00 Hz, Directions: 194.96 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 4.832549 Frequency:  42.03 Hz, Directions:  70.81 degrees "," Point 4 Time: 19.751780 Frequency:  41.81 Hz, Directions: 113.15 degrees ",," Point 4 Time: 13.979750 Frequency:  43.34 Hz, Directions: 166.09 degrees ",
" Point 3 Time: 7.204952 Frequency:  41.59 Hz, Directions:  76.68 degrees "," Point 5 Time: 19.189251 Frequency:  37.88 Hz, Directions:  11.73 degrees ",," Point 5 Time: 13.246017 Frequency:  38.32 Hz, Directions: 100.87 degrees ",
," Point 6 Time: 19.898526 Frequency:  37.45 Hz, Directions:  62.37 degrees ",," Point 6 Time: 14.077581 Frequency:  37.88 Hz, Directions: 116.76 degrees ",
 Absolute time at min time: 08-Aug-2014 05:00:48,,,,
" Point 1 Time: 1.384006 Frequency:  42.69 Hz, Directions: 117.79 degrees ", Absolute time at min time: 08-Aug-2014 04:14:52 ,, Absolute time at min time: 08-Aug-2014 04:14:11,
" Point 2 Time: 2.704725 Frequency:  42.47 Hz, Directions: 119.69 degrees "," Point 1 Time: 1.090513 Frequency:  47.71 Hz, Directions:  56.39 degrees ",," Point 1 Time: 0.894851 Frequency:  48.58 Hz, Directions:  31.90 degrees ",
" Point 3 Time: 5.052669 Frequency:  42.69 Hz, Directions: 163.87 degrees "," Point 2 Time: 1.848703 Frequency:  47.71 Hz, Directions:  50.24 degrees ",," Point 2 Time: 1.750872 Frequency:  48.58 Hz, Directions: 347.08 degrees ",
," Point 3 Time: 1.017140 Frequency:  42.03 Hz, Directions:  77.55 degrees ",," Point 3 Time: 0.845935 Frequency:  42.90 Hz, Directions: 278.29 degrees ",
 Absolute time at min time: 08-Aug-2014 05:01:26," Point 4 Time: 1.604126 Frequency:  41.59 Hz, Directions:  94.49 degrees ",," Point 4 Time: 1.701957 Frequency:  43.12 Hz, Directions:  73.86 degrees ",
" Point 1 Time: 2.973760 Frequency:  41.81 Hz, Directions: 138.68 degrees "," Point 5 Time: 1.114971 Frequency:  36.14 Hz, Directions:  17.58 degrees ",," Point 5 Time: 0.797020 Frequency:  36.79 Hz, Directions:  49.20 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 5.003754 Frequency:  42.25 Hz, Directions: 104.69 degrees "," Point 6 Time: 1.970992 Frequency:  35.70 Hz, Directions: 325.18 degrees ",," Point 6 Time: 1.653041 Frequency:  37.23 Hz, Directions:  73.46 degrees ",
" Point 3 Time: 7.253867 Frequency:  42.03 Hz, Directions: 125.42 degrees ",,,,
, Absolute time at min time: 08-Aug-2014 04:13:59 ,, Absolute time at min time: 08-Aug-2014 04:15:23,
 Absolute time at min time: 08-Aug-2014 05:01:48," Point 1 Time: 12.903609 Frequency:  48.14 Hz, Directions:  26.22 degrees ",," Point 1 Time: 13.833003 Frequency:  48.36 Hz, Directions:  36.03 degrees ",
" Point 1 Time: 2.093281 Frequency:  42.03 Hz, Directions:  91.84 degrees "," Point 2 Time: 13.417221 Frequency:  47.93 Hz, Directions:  53.22 degrees ",," Point 2 Time: 14.640109 Frequency:  48.14 Hz, Directions:  43.44 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 3.438457 Frequency:  42.25 Hz, Directions:  54.54 degrees "," Point 3 Time: 12.732404 Frequency:  42.47 Hz, Directions: 108.32 degrees ",," Point 3 Time: 13.563968 Frequency:  41.38 Hz, Directions:  92.91 degrees ",
" Point 3 Time: 5.419536 Frequency:  41.59 Hz, Directions: 192.08 degrees "," Point 4 Time: 13.343848 Frequency:  42.03 Hz, Directions:  23.39 degrees ",," Point 4 Time: 14.493363 Frequency:  41.38 Hz, Directions:  83.04 degrees ",
," Point 5 Time: 12.561200 Frequency:  38.10 Hz, Directions:  19.39 degrees ",," Point 5 Time: 13.515052 Frequency:  37.45 Hz, Directions:  55.10 degrees ",
 Absolute time at min time: 08-Aug-2014 05:02:41," Point 6 Time: 13.270475 Frequency:  37.88 Hz, Directions:  23.96 degrees ",," Point 6 Time: 14.395532 Frequency:  37.45 Hz, Directions: 343.86 degrees ",
" Point 1 Time: 2.606894 Frequency:  41.81 Hz, Directions: 125.96 degrees ",,,,
" Point 2 Time: 5.272789 Frequency:  42.03 Hz, Directions: 102.62 degrees ", Absolute time at min time: 08-Aug-2014 04:14:10,, Absolute time at min time: 08-Aug-2014 04:15:36,
" Point 3 Time: 7.571818 Frequency:  42.25 Hz, Directions: 106.37 degrees "," Point 1 Time: 0.674731 Frequency:  49.24 Hz, Directions:  74.60 degrees ",," Point 1 Time: 0.845935 Frequency:  47.93 Hz, Directions:  81.76 degrees ",
," Point 2 Time: 1.310633 Frequency:  48.58 Hz, Directions: 334.60 degrees ",," Point 2 Time: 1.873161 Frequency:  47.93 Hz, Directions:  59.54 degrees ",
 Absolute time at min time: 08-Aug-2014 05:03:37 ," Point 3 Time: 0.601358 Frequency:  42.69 Hz, Directions:  93.65 degrees ",," Point 3 Time: 0.943766 Frequency:  41.38 Hz, Directions:   4.17 degrees ",
," Point 4 Time: 1.261717 Frequency:  42.90 Hz, Directions:  71.60 degrees ",," Point 4 Time: 1.750872 Frequency:  41.38 Hz, Directions: 104.14 degrees ",
," Point 5 Time: 0.797020 Frequency:  37.88 Hz, Directions: 299.07 degrees ",," Point 5 Time: 0.968224 Frequency:  37.45 Hz, Directions:  40.47 degrees ",
," Point 6 Time: 1.408464 Frequency:  37.66 Hz, Directions: 165.99 degrees ",," Point 6 Time: 1.848703 Frequency:  37.01 Hz, Directions:  50.95 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:15:23,, Absolute time at min time: 08-Aug-2014 04:16:29,
," Point 1 Time: 17.575040 Frequency:  48.36 Hz, Directions: 233.55 degrees ",," Point 1 Time: 13.221559 Frequency:  48.36 Hz, Directions: 129.47 degrees ",
," Point 2 Time: 18.064195 Frequency:  48.14 Hz, Directions:  58.68 degrees ",," Point 2 Time: 14.077581 Frequency:  48.14 Hz, Directions:  70.82 degrees ",
," Point 3 Time: 17.281547 Frequency:  43.78 Hz, Directions:  41.31 degrees ",," Point 3 Time: 13.148186 Frequency:  41.38 Hz, Directions:  37.68 degrees ",
," Point 4 Time: 17.941906 Frequency:  43.78 Hz, Directions:  41.19 degrees ",," Point 4 Time: 14.444447 Frequency:  41.16 Hz, Directions: 145.09 degrees ",
," Point 5 Time: 17.208173 Frequency:  37.01 Hz, Directions:  49.85 degrees ",," Point 5 Time: 13.515052 Frequency:  37.23 Hz, Directions: 176.60 degrees ",
," Point 6 Time: 18.015279 Frequency:  37.45 Hz, Directions:  79.01 degrees ",," Point 6 Time: 14.640109 Frequency:  37.66 Hz, Directions: 180.62 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:15:40,, Absolute time at min time: 08-Aug-2014 04:16:42,
," Point 1 Time: 0.943766 Frequency:  49.02 Hz, Directions: 120.04 degrees ",," Point 1 Time: 1.457379 Frequency:  48.36 Hz, Directions:  37.03 degrees ",
," Point 2 Time: 1.799788 Frequency:  48.80 Hz, Directions: 101.86 degrees ",," Point 2 Time: 2.582436 Frequency:  47.71 Hz, Directions:  70.34 degrees ",
," Point 3 Time: 0.870393 Frequency:  41.81 Hz, Directions: 139.47 degrees ",," Point 3 Time: 1.481837 Frequency:  42.47 Hz, Directions:   8.00 degrees ",
," Point 4 Time: 1.848703 Frequency:  41.59 Hz, Directions: 152.69 degrees ",," Point 4 Time: 2.509063 Frequency:  41.81 Hz, Directions: 106.21 degrees ",
," Point 5 Time: 0.894851 Frequency:  37.23 Hz, Directions:  38.97 degrees ",," Point 5 Time: 1.677499 Frequency:  37.45 Hz, Directions: 260.28 degrees ",
," Point 6 Time: 1.701957 Frequency:  37.23 Hz, Directions:  62.59 degrees ",," Point 6 Time: 2.557978 Frequency:  37.45 Hz, Directions:   3.69 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:16:29,, Absolute time at min time: 08-Aug-2014 04:17:04,
," Point 1 Time: 10.580122 Frequency:  47.71 Hz, Directions:  39.14 degrees ",," Point 1 Time: 17.868533 Frequency:  48.14 Hz, Directions:  44.13 degrees ",
," Point 2 Time: 11.436143 Frequency:  47.27 Hz, Directions: 198.84 degrees ",," Point 2 Time: 18.773470 Frequency:  47.71 Hz, Directions:  39.89 degrees ",
," Point 3 Time: 10.237713 Frequency:  40.72 Hz, Directions:  26.80 degrees ",," Point 3 Time: 17.844075 Frequency:  42.25 Hz, Directions:  61.09 degrees ",
," Point 4 Time: 11.118192 Frequency:  40.50 Hz, Directions: 124.66 degrees ",," Point 4 Time: 18.724554 Frequency:  42.47 Hz, Directions:  78.75 degrees ",
," Point 5 Time: 10.457833 Frequency:  37.23 Hz, Directions: 349.42 degrees ",," Point 5 Time: 17.819617 Frequency:  38.32 Hz, Directions:  22.98 degrees ",
," Point 6 Time: 11.313854 Frequency:  36.35 Hz, Directions: 131.40 degrees ",," Point 6 Time: 18.651181 Frequency:  38.54 Hz, Directions:  33.34 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:16:39,, Absolute time at min time: 08-Aug-2014 04:17:20,
," Point 1 Time: 2.142196 Frequency:  48.58 Hz, Directions: 106.57 degrees ",," Point 1 Time: 1.726415 Frequency:  49.45 Hz, Directions:  67.14 degrees ",
," Point 2 Time: 3.022676 Frequency:  47.93 Hz, Directions: 212.59 degrees ",," Point 2 Time: 2.337858 Frequency:  48.36 Hz, Directions:  39.05 degrees ",
," Point 3 Time: 2.240027 Frequency:  42.90 Hz, Directions:  95.54 degrees ",," Point 3 Time: 1.579668 Frequency:  43.34 Hz, Directions:  19.65 degrees ",
," Point 4 Time: 2.998218 Frequency:  42.69 Hz, Directions:  68.14 degrees ",," Point 4 Time: 1.995450 Frequency:  43.56 Hz, Directions:  96.96 degrees ",
," Point 5 Time: 2.215570 Frequency:  37.88 Hz, Directions:  79.11 degrees ",," Point 5 Time: 1.432922 Frequency:  37.66 Hz, Directions: 212.53 degrees ",
," Point 6 Time: 2.924845 Frequency:  37.45 Hz, Directions: 243.33 degrees ",," Point 6 Time: 1.970992 Frequency:  37.45 Hz, Directions:  34.44 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:05,, Absolute time at min time: 08-Aug-2014 04:17:40 ,
," Point 1 Time: 13.979750 Frequency:  47.71 Hz, Directions:  29.30 degrees ",," Point 1 Time: 21.145872 Frequency:  48.80 Hz, Directions:  61.16 degrees ",
," Point 2 Time: 14.884687 Frequency:  47.05 Hz, Directions: 338.47 degrees ",," Point 2 Time: 21.659485 Frequency:  48.36 Hz, Directions:  56.79 degrees ",
," Point 3 Time: 14.224327 Frequency:  41.81 Hz, Directions:  87.59 degrees ",," Point 3 Time: 21.194787 Frequency:  43.12 Hz, Directions:  95.66 degrees ",
," Point 4 Time: 14.884687 Frequency:  41.81 Hz, Directions:  75.51 degrees ",," Point 4 Time: 21.904062 Frequency:  42.90 Hz, Directions: 126.82 degrees ",
," Point 5 Time: 14.077581 Frequency:  37.23 Hz, Directions:  40.42 degrees ",," Point 5 Time: 21.145872 Frequency:  37.45 Hz, Directions: 174.68 degrees ",
," Point 6 Time: 15.006975 Frequency:  36.57 Hz, Directions:  44.29 degrees ",," Point 6 Time: 21.977435 Frequency:  36.79 Hz, Directions:  29.29 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:16,, Absolute time at min time: 08-Aug-2014 04:18:00,
," Point 1 Time: 0.527985 Frequency:  48.58 Hz, Directions: 295.95 degrees ",," Point 1 Time: 0.650273 Frequency:  48.14 Hz, Directions:  14.41 degrees ",
," Point 2 Time: 0.919309 Frequency:  48.58 Hz, Directions: 189.46 degrees ",," Point 2 Time: 1.555210 Frequency:  47.93 Hz, Directions:  80.54 degrees ",
," Point 3 Time: 0.527985 Frequency:  44.65 Hz, Directions:  63.64 degrees ",," Point 3 Time: 0.723647 Frequency:  44.21 Hz, Directions:  41.82 degrees ",
," Point 4 Time: 0.845935 Frequency:  44.65 Hz, Directions:  94.15 degrees ",," Point 4 Time: 1.237260 Frequency:  44.43 Hz, Directions:  31.87 degrees ",
," Point 5 Time: 0.503527 Frequency:  38.54 Hz, Directions:  65.65 degrees ",," Point 5 Time: 0.845935 Frequency:  39.85 Hz, Directions: 352.13 degrees ",
," Point 6 Time: 0.845935 Frequency:  38.54 Hz, Directions:  92.03 degrees ",," Point 6 Time: 1.335091 Frequency:  39.19 Hz, Directions: 188.92 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:39 ,, Absolute time at min time: 08-Aug-2014 04:17:39,
," Point 1 Time: 19.018047 Frequency:  48.36 Hz, Directions:  15.98 degrees ",," Point 1 Time: 22.099724 Frequency:  47.71 Hz, Directions:  33.40 degrees ",
," Point 2 Time: 19.849611 Frequency:  48.36 Hz, Directions: 169.02 degrees ",," Point 2 Time: 23.053577 Frequency:  47.27 Hz, Directions:  48.54 degrees ",
," Point 3 Time: 19.189251 Frequency:  42.25 Hz, Directions:  47.60 degrees ",," Point 3 Time: 22.050809 Frequency:  41.38 Hz, Directions:  26.67 degrees ",
," Point 4 Time: 19.922984 Frequency:  42.25 Hz, Directions: 146.57 degrees ",," Point 4 Time: 23.102492 Frequency:  41.38 Hz, Directions:  54.49 degrees ",
," Point 5 Time: 19.384913 Frequency:  37.45 Hz, Directions:  23.48 degrees ",," Point 5 Time: 22.075267 Frequency:  37.45 Hz, Directions: 110.90 degrees ",
," Point 6 Time: 20.069731 Frequency:  37.45 Hz, Directions:  49.84 degrees ",," Point 6 Time: 23.029119 Frequency:  36.79 Hz, Directions:  82.49 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:58 ,, Absolute time at min time: 08-Aug-2014 04:18:01,
," Point 1 Time: 0.552442 Frequency:  47.93 Hz, Directions: 295.95 degrees ",," Point 1 Time: 0.601358 Frequency:  48.36 Hz, Directions: 165.80 degrees ",
," Point 2 Time: 0.894851 Frequency:  47.71 Hz, Directions: 189.46 degrees ",," Point 2 Time: 1.066055 Frequency:  48.14 Hz, Directions:  93.44 degrees ",
," Point 3 Time: 0.527985 Frequency:  44.21 Hz, Directions:  63.64 degrees ",," Point 3 Time: 0.576900 Frequency:  43.12 Hz, Directions: 137.90 degrees ",
," Point 4 Time: 0.968224 Frequency:  43.78 Hz, Directions:  83.27 degrees ",," Point 4 Time: 1.212802 Frequency:  43.12 Hz, Directions:  73.92 degrees ",
," Point 5 Time: 0.601358 Frequency:  39.19 Hz, Directions: 141.43 degrees ",," Point 5 Time: 0.601358 Frequency:  38.10 Hz, Directions:  21.90 degrees ",
," Point 6 Time: 0.943766 Frequency:  38.76 Hz, Directions:   8.13 degrees ",," Point 6 Time: 1.139428 Frequency:  38.10 Hz, Directions:  46.26 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:39,, Absolute time at min time: 08-Aug-2014 04:20:12,
," Point 1 Time: 19.678407 Frequency:  48.14 Hz, Directions: 236.93 degrees ",," Point 1 Time: 16.303236 Frequency:  49.45 Hz, Directions: 355.00 degrees ",
," Point 2 Time: 20.314308 Frequency:  47.71 Hz, Directions: 301.92 degrees ",," Point 2 Time: 17.208173 Frequency:  48.58 Hz, Directions:  74.09 degrees ",
," Point 3 Time: 19.629491 Frequency:  41.81 Hz, Directions: 165.52 degrees ",," Point 3 Time: 16.376610 Frequency:  41.81 Hz, Directions:  42.26 degrees ",
," Point 4 Time: 20.363224 Frequency:  41.16 Hz, Directions: 124.82 degrees ",," Point 4 Time: 17.036969 Frequency:  41.81 Hz, Directions:  82.88 degrees ",
," Point 5 Time: 19.629491 Frequency:  36.57 Hz, Directions: 286.75 degrees ",," Point 5 Time: 16.376610 Frequency:  36.79 Hz, Directions:  24.05 degrees ",
," Point 6 Time: 20.363224 Frequency:  36.35 Hz, Directions:  40.08 degrees ",," Point 6 Time: 17.061427 Frequency:  36.14 Hz, Directions:  94.61 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:17:58,, Absolute time at min time: 08-Aug-2014 04:20:28,
," Point 1 Time: 0.601358 Frequency:  48.36 Hz, Directions:  65.97 degrees ",," Point 1 Time: 0.699189 Frequency:  48.14 Hz, Directions:  24.74 degrees ",
," Point 2 Time: 1.163886 Frequency:  48.36 Hz, Directions: 174.60 degrees ",," Point 2 Time: 1.677499 Frequency:  47.93 Hz, Directions:  14.80 degrees ",
," Point 3 Time: 0.527985 Frequency:  44.00 Hz, Directions:  81.50 degrees ",," Point 3 Time: 0.870393 Frequency:  42.69 Hz, Directions:  46.16 degrees ",
," Point 4 Time: 1.163886 Frequency:  43.78 Hz, Directions:  67.90 degrees ",," Point 4 Time: 1.384006 Frequency:  42.69 Hz, Directions:  71.20 degrees ",
," Point 5 Time: 0.625816 Frequency:  38.10 Hz, Directions:  58.38 degrees ",," Point 5 Time: 0.699189 Frequency:  37.45 Hz, Directions: 350.80 degrees ",
," Point 6 Time: 1.090513 Frequency:  38.10 Hz, Directions:  69.48 degrees ",," Point 6 Time: 1.261717 Frequency:  37.01 Hz, Directions:  67.68 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:20:12,, Absolute time at min time: 08-Aug-2014 04:21:12,
," Point 1 Time: 15.618419 Frequency:  47.05 Hz, Directions:  54.76 degrees ",," Point 1 Time: 11.827467 Frequency:  49.45 Hz, Directions: 344.48 degrees ",
," Point 2 Time: 16.352152 Frequency:  47.05 Hz, Directions:  53.91 degrees ",," Point 2 Time: 12.781320 Frequency:  48.36 Hz, Directions:  27.91 degrees ",
," Point 3 Time: 15.838539 Frequency:  41.59 Hz, Directions: 137.27 degrees ",," Point 3 Time: 11.949756 Frequency:  42.47 Hz, Directions:  88.82 degrees ",
," Point 4 Time: 16.670103 Frequency:  41.59 Hz, Directions:  86.74 degrees ",," Point 4 Time: 12.707946 Frequency:  42.03 Hz, Directions: 102.47 degrees ",
," Point 5 Time: 15.765166 Frequency:  36.57 Hz, Directions:  40.22 degrees ",," Point 5 Time: 11.998672 Frequency:  36.35 Hz, Directions:  18.57 degrees ",
," Point 6 Time: 16.498898 Frequency:  36.35 Hz, Directions:  37.35 degrees ",," Point 6 Time: 12.610115 Frequency:  36.35 Hz, Directions:  23.50 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:20:27,, Absolute time at min time: 08-Aug-2014 04:21:23,
," Point 1 Time: 0.943766 Frequency:  48.14 Hz, Directions:  44.94 degrees ",," Point 1 Time: 0.772562 Frequency:  47.93 Hz, Directions:  57.93 degrees ",
," Point 2 Time: 1.530753 Frequency:  47.93 Hz, Directions:   5.25 degrees ",," Point 2 Time: 1.506295 Frequency:  47.93 Hz, Directions: 352.66 degrees ",
," Point 3 Time: 0.919309 Frequency:  42.25 Hz, Directions:  75.72 degrees ",," Point 3 Time: 0.894851 Frequency:  42.90 Hz, Directions:  40.90 degrees ",
," Point 4 Time: 1.506295 Frequency:  41.81 Hz, Directions: 117.77 degrees ",," Point 4 Time: 1.384006 Frequency:  42.47 Hz, Directions:   1.52 degrees ",
," Point 5 Time: 0.845935 Frequency:  37.01 Hz, Directions:  75.35 degrees ",," Point 5 Time: 0.797020 Frequency:  36.14 Hz, Directions: 100.63 degrees ",
," Point 6 Time: 1.359548 Frequency:  36.35 Hz, Directions:  29.56 degrees ",," Point 6 Time: 1.530753 Frequency:  36.57 Hz, Directions:  23.31 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:21:12,, Absolute time at min time: 08-Aug-2014 04:22:04,
," Point 1 Time: 15.178180 Frequency:  48.36 Hz, Directions:  98.06 degrees ",," Point 1 Time: 12.903609 Frequency:  47.93 Hz, Directions: 157.09 degrees ",
," Point 2 Time: 15.960828 Frequency:  47.71 Hz, Directions:  50.29 degrees ",," Point 2 Time: 13.930834 Frequency:  47.71 Hz, Directions:  76.17 degrees ",
," Point 3 Time: 15.104806 Frequency:  40.94 Hz, Directions:  42.39 degrees ",," Point 3 Time: 13.074813 Frequency:  41.59 Hz, Directions: 219.14 degrees ",
," Point 4 Time: 15.838539 Frequency:  40.28 Hz, Directions:  62.87 degrees ",," Point 4 Time: 14.004207 Frequency:  40.94 Hz, Directions:  46.14 degrees ",
," Point 5 Time: 15.104806 Frequency:  35.92 Hz, Directions:  76.65 degrees ",," Point 5 Time: 13.270475 Frequency:  36.79 Hz, Directions:  82.14 degrees ",
," Point 6 Time: 15.814081 Frequency:  35.48 Hz, Directions:  88.30 degrees ",," Point 6 Time: 13.955292 Frequency:  36.79 Hz, Directions:  33.96 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:21:27,, Absolute time at min time: 08-Aug-2014 04:22:16,
," Point 1 Time: 0.723647 Frequency:  48.36 Hz, Directions:  88.58 degrees ",," Point 1 Time: 0.894851 Frequency:  48.58 Hz, Directions:  34.17 degrees ",
," Point 2 Time: 1.653041 Frequency:  48.14 Hz, Directions: 340.14 degrees ",," Point 2 Time: 1.604126 Frequency:  48.58 Hz, Directions:  54.34 degrees ",
," Point 3 Time: 0.772562 Frequency:  42.03 Hz, Directions:  85.53 degrees ",," Point 3 Time: 0.919309 Frequency:  43.56 Hz, Directions: 300.23 degrees ",
," Point 4 Time: 1.432922 Frequency:  41.81 Hz, Directions:  58.77 degrees ",," Point 4 Time: 1.653041 Frequency:  43.34 Hz, Directions: 107.66 degrees ",
," Point 5 Time: 0.650273 Frequency:  35.70 Hz, Directions:  30.35 degrees ",," Point 5 Time: 0.943766 Frequency:  39.19 Hz, Directions:  17.04 degrees ",
," Point 6 Time: 1.457379 Frequency:  35.92 Hz, Directions:  59.72 degrees ",," Point 6 Time: 1.530753 Frequency:  38.76 Hz, Directions:  67.58 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:22:04,, Absolute time at min time: 08-Aug-2014 04:22:21 ,
," Point 1 Time: 15.276011 Frequency:  49.02 Hz, Directions:  30.14 degrees ",," Point 1 Time: 15.520588 Frequency:  47.71 Hz, Directions: 195.37 degrees ",
," Point 2 Time: 16.132032 Frequency:  49.24 Hz, Directions:  78.65 degrees ",," Point 2 Time: 16.058659 Frequency:  47.49 Hz, Directions: 140.83 degrees ",
," Point 3 Time: 15.276011 Frequency:  40.50 Hz, Directions:  69.45 degrees ",," Point 3 Time: 15.422757 Frequency:  40.72 Hz, Directions: 350.04 degrees ",
," Point 4 Time: 15.960828 Frequency:  40.50 Hz, Directions:  54.75 degrees ",," Point 4 Time: 16.180948 Frequency:  40.50 Hz, Directions: 115.89 degrees ",
," Point 5 Time: 15.104806 Frequency:  35.48 Hz, Directions:  44.62 degrees ",," Point 5 Time: 15.349384 Frequency:  35.26 Hz, Directions:  36.39 degrees ",
," Point 6 Time: 16.107574 Frequency:  35.92 Hz, Directions:  53.86 degrees ",," Point 6 Time: 16.058659 Frequency:  35.04 Hz, Directions:   7.59 degrees ",
,,,,
, Absolute time at min time: 08-Aug-2014 04:22:19 ,, Absolute time at min time: 08-Aug-2014 04:22:36,
," Point 1 Time: 0.430154 Frequency:  48.80 Hz, Directions:  80.37 degrees ",," Point 1 Time: 0.601358 Frequency:  48.80 Hz, Directions: 158.08 degrees ",
," Point 2 Time: 0.845935 Frequency:  48.80 Hz, Directions:  82.39 degrees ",," Point 2 Time: 0.992682 Frequency:  48.80 Hz, Directions: 116.93 degrees ",
