Channel1_Signal,Channel1_Noise,Channel2_Signal,Channel2_Noise,Notes
," Point 2 Time: 1.286175 Frequency:  46.83 Hz, Directions:  21.91 degrees ",," Point 2 Time: 1.506295 Frequency:  48.58 Hz, Directions:  83.37 degrees ",
 Absolute time at min time: 08-Aug-2014 03:47:06 ," Point 3 Time: 0.748104 Frequency:  42.90 Hz, Directions: 110.53 degrees ", Absolute time at min time: 08-Aug-2014 03:49:30," Point 3 Time: 0.748104 Frequency:  44.00 Hz, Directions:  30.11 degrees ",
" Point 1 Time: 2.949302 Frequency:  42.69 Hz, Directions: 121.56 degrees "," Point 4 Time: 1.481837 Frequency:  42.69 Hz, Directions: 180.11 degrees "," Point 1 Time: 4.196648 Frequency:  43.78 Hz, Directions: 131.55 degrees "," Point 4 Time: 1.750872 Frequency:  43.78 Hz, Directions:  82.62 degrees ",
" Point 2 Time: 5.077127 Frequency:  42.69 Hz, Directions: 112.96 degrees "," Point 5 Time: 0.723647 Frequency:  37.23 Hz, Directions:  32.25 degrees "," Point 2 Time: 6.079895 Frequency:  43.12 Hz, Directions: 107.49 degrees "," Point 5 Time: 0.797020 Frequency:  37.45 Hz, Directions:  15.80 degrees ",
" Point 3 Time: 6.935916 Frequency:  43.34 Hz, Directions: 131.02 degrees "," Point 6 Time: 1.628584 Frequency:  37.01 Hz, Directions: 203.71 degrees "," Point 3 Time: 8.819163 Frequency:  41.81 Hz, Directions: 127.97 degrees "," Point 6 Time: 1.726415 Frequency:  37.45 Hz, Directions: 170.05 degrees ",
" Point 4 Time: 8.623501 Frequency:  43.78 Hz, Directions: 109.26 degrees ",," Point 4 Time: 11.313854 Frequency:  41.59 Hz, Directions: 120.29 degrees ",,
, Absolute time at min time: 08-Aug-2014 03:43:49 ," Point 5 Time: 13.906376 Frequency:  41.38 Hz, Directions: 129.28 degrees ", Absolute time at min time: 08-Aug-2014 03:43:49,
 Absolute time at min time: 08-Aug-2014 03:49:29," Point 1 Time: 12.854693 Frequency:  47.27 Hz, Directions:  68.14 degrees ",," Point 1 Time: 11.387228 Frequency:  48.14 Hz, Directions: 156.93 degrees ",
" Point 1 Time: 7.302783 Frequency:  42.47 Hz, Directions: 116.75 degrees "," Point 2 Time: 14.004207 Frequency:  46.62 Hz, Directions:  68.04 degrees ", Absolute time at min time: 08-Aug-2014 03:51:43," Point 2 Time: 12.487827 Frequency:  48.14 Hz, Directions:  45.67 degrees ",
" Point 2 Time: 9.332776 Frequency:  42.69 Hz, Directions: 122.82 degrees "," Point 3 Time: 12.903609 Frequency:  41.38 Hz, Directions: 352.00 degrees "," Point 1 Time: 4.025444 Frequency:  42.03 Hz, Directions:  68.14 degrees "," Point 3 Time: 11.460601 Frequency:  41.16 Hz, Directions: 148.80 degrees ",
" Point 3 Time: 11.754094 Frequency:  42.03 Hz, Directions: 120.54 degrees "," Point 4 Time: 13.955292 Frequency:  41.59 Hz, Directions: 345.29 degrees "," Point 2 Time: 5.395078 Frequency:  41.16 Hz, Directions: 117.79 degrees "," Point 4 Time: 12.756862 Frequency:  41.59 Hz, Directions:   0.87 degrees ",
," Point 5 Time: 13.001440 Frequency:  37.01 Hz, Directions:  49.00 degrees "," Point 3 Time: 6.911459 Frequency:  41.16 Hz, Directions:  69.17 degrees "," Point 5 Time: 11.827467 Frequency:  37.23 Hz, Directions: 199.27 degrees ",
 Absolute time at min time: 08-Aug-2014 03:51:46," Point 6 Time: 13.955292 Frequency:  37.23 Hz, Directions:  90.55 degrees ",," Point 6 Time: 12.732404 Frequency:  37.45 Hz, Directions: 107.60 degrees ",
" Point 1 Time: 4.367852 Frequency:  42.03 Hz, Directions:  71.59 degrees ",, Absolute time at min time: 08-Aug-2014 03:53:44,,
